2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [12246 8/11/2005 11:07:25 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,11877,Bonython,15421,ELLERMAN,Sue,1,,GRN,The Greens,132,4.05
ACT,101,Canberra,11877,Bonython,15166,BARNIER,Belinda,2,,LP,Liberal,667,3.68
ACT,101,Canberra,11877,Bonython,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,7,0.4
ACT,101,Canberra,11877,Bonython,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),915,4.04
ACT,101,Canberra,11877,Bonython,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,42,-7.2
ACT,101,Canberra,11877,Bonython,999,Informal,Informal,999,,,Informal,80,1.36
ACT,101,Canberra,11452,Calwell,15421,ELLERMAN,Sue,1,,GRN,The Greens,241,4.8
ACT,101,Canberra,11452,Calwell,15166,BARNIER,Belinda,2,,LP,Liberal,1062,0.86
ACT,101,Canberra,11452,Calwell,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,22,0.77
ACT,101,Canberra,11452,Calwell,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1468,3.21
ACT,101,Canberra,11452,Calwell,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,66,-5.04
ACT,101,Canberra,11452,Calwell,999,Informal,Informal,999,,,Informal,138,0.53
ACT,101,Canberra,8794,Canberra Hospital,15421,ELLERMAN,Sue,1,,GRN,The Greens,122,3.73
ACT,101,Canberra,8794,Canberra Hospital,15166,BARNIER,Belinda,2,,LP,Liberal,329,0.77
ACT,101,Canberra,8794,Canberra Hospital,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,8,0.85
ACT,101,Canberra,8794,Canberra Hospital,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),463,4.91
ACT,101,Canberra,8794,Canberra Hospital,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,24,-6.52
ACT,101,Canberra,8794,Canberra Hospital,999,Informal,Informal,999,,,Informal,27,-1.9
ACT,101,Canberra,8761,Chapman,15421,ELLERMAN,Sue,1,,GRN,The Greens,240,2.01
ACT,101,Canberra,8761,Chapman,15166,BARNIER,Belinda,2,,LP,Liberal,889,2.42
ACT,101,Canberra,8761,Chapman,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,11,0.46
ACT,101,Canberra,8761,Chapman,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1171,5.56
ACT,101,Canberra,8761,Chapman,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,58,-6.15
ACT,101,Canberra,8761,Chapman,999,Informal,Informal,999,,,Informal,66,0.26
ACT,101,Canberra,8762,Chifley,15421,ELLERMAN,Sue,1,,GRN,The Greens,193,4.21
ACT,101,Canberra,8762,Chifley,15166,BARNIER,Belinda,2,,LP,Liberal,442,1
ACT,101,Canberra,8762,Chifley,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,8,0.53
ACT,101,Canberra,8762,Chifley,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),819,3.84
ACT,101,Canberra,8762,Chifley,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,43,-5.21
ACT,101,Canberra,8762,Chifley,999,Informal,Informal,999,,,Informal,38,-0.84
ACT,101,Canberra,8763,Chisholm,15421,ELLERMAN,Sue,1,,GRN,The Greens,136,3.31
ACT,101,Canberra,8763,Chisholm,15166,BARNIER,Belinda,2,,LP,Liberal,732,4.69
ACT,101,Canberra,8763,Chisholm,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,12,0.64
ACT,101,Canberra,8763,Chisholm,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),972,2.72
ACT,101,Canberra,8763,Chisholm,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,33,-5.94
ACT,101,Canberra,8763,Chisholm,999,Informal,Informal,999,,,Informal,77,-1.46
ACT,101,Canberra,31298,Conder,15421,ELLERMAN,Sue,1,,GRN,The Greens,256,3.59
ACT,101,Canberra,31298,Conder,15166,BARNIER,Belinda,2,,LP,Liberal,1277,8.11
ACT,101,Canberra,31298,Conder,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,34,1.05
ACT,101,Canberra,31298,Conder,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1606,-0.71
ACT,101,Canberra,31298,Conder,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,60,-5.33
ACT,101,Canberra,31298,Conder,999,Informal,Informal,999,,,Informal,158,0.44
ACT,101,Canberra,8764,Curtin,15421,ELLERMAN,Sue,1,,GRN,The Greens,410,4.16
ACT,101,Canberra,8764,Curtin,15166,BARNIER,Belinda,2,,LP,Liberal,930,0.14
ACT,101,Canberra,8764,Curtin,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,19,0.64
ACT,101,Canberra,8764,Curtin,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1544,6.44
ACT,101,Canberra,8764,Curtin,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,56,-6.49
ACT,101,Canberra,8764,Curtin,999,Informal,Informal,999,,,Informal,95,0.29
ACT,101,Canberra,8766,Deakin,15421,ELLERMAN,Sue,1,,GRN,The Greens,144,0.84
ACT,101,Canberra,8766,Deakin,15166,BARNIER,Belinda,2,,LP,Liberal,667,0.42
ACT,101,Canberra,8766,Deakin,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,3,0.22
ACT,101,Canberra,8766,Deakin,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),553,6.61
ACT,101,Canberra,8766,Deakin,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,8,-5.64
ACT,101,Canberra,8766,Deakin,999,Informal,Informal,999,,,Informal,36,-0.5
ACT,101,Canberra,8767,Duffy,15421,ELLERMAN,Sue,1,,GRN,The Greens,208,2.92
ACT,101,Canberra,8767,Duffy,15166,BARNIER,Belinda,2,,LP,Liberal,520,4.04
ACT,101,Canberra,8767,Duffy,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,14,0.85
ACT,101,Canberra,8767,Duffy,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),868,3.39
ACT,101,Canberra,8767,Duffy,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,45,-6.64
ACT,101,Canberra,8767,Duffy,999,Informal,Informal,999,,,Informal,78,0.97
ACT,101,Canberra,8768,Fadden,15421,ELLERMAN,Sue,1,,GRN,The Greens,182,4.3
ACT,101,Canberra,8768,Fadden,15166,BARNIER,Belinda,2,,LP,Liberal,936,1.61
ACT,101,Canberra,8768,Fadden,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,14,0.64
ACT,101,Canberra,8768,Fadden,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1010,3.25
ACT,101,Canberra,8768,Fadden,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,32,-6.49
ACT,101,Canberra,8768,Fadden,999,Informal,Informal,999,,,Informal,62,0.18
ACT,101,Canberra,8769,Farrer,15421,ELLERMAN,Sue,1,,GRN,The Greens,265,3.55
ACT,101,Canberra,8769,Farrer,15166,BARNIER,Belinda,2,,LP,Liberal,1169,2.54
ACT,101,Canberra,8769,Farrer,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,17,0.63
ACT,101,Canberra,8769,Farrer,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1199,2.62
ACT,101,Canberra,8769,Farrer,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,33,-5.89
ACT,101,Canberra,8769,Farrer,999,Informal,Informal,999,,,Informal,53,-1.23
ACT,101,Canberra,8771,Gilmore,15421,ELLERMAN,Sue,1,,GRN,The Greens,167,3.56
ACT,101,Canberra,8771,Gilmore,15166,BARNIER,Belinda,2,,LP,Liberal,840,4.22
ACT,101,Canberra,8771,Gilmore,14298,ARNOLD,Jim,3,,CEC,Citizens Electoral Council,11,0.51
ACT,101,Canberra,8771,Gilmore,15360,ELLIS,Annette,4,#,ALP,Australian Labor Party (ACT Branch),1121,5.09
ACT,101,Canberra,8771,Gilmore,15158,MATTHEWS,Aaron,5,,DEM,Australian Democrats,38,-6.87
ACT,101,Canberra,8771,Gilmore,999,Informal,Informal,999,,,Informal,86,-1.2
ACT,101,Canberra,12072,Gordon,15421,ELLERMAN,Sue,1,,GRN,The Greens,300,3.39
