2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [12246 8/11/2005 11:07:25 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,8701,Alice Springs,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),753,1.64
NT,306,Lingiari,8701,Alice Springs,15187,CURTIS,David,2,,DEM,Australian Democrats,44,-4.85
NT,306,Lingiari,8701,Alice Springs,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,747,1.54
NT,306,Lingiari,8701,Alice Springs,14619,BRISTOW,James,4,,GRN,The Greens,171,4.45
NT,306,Lingiari,8701,Alice Springs,14454,MILLS,Andrew Ian,5,,IND,Independent,35,2
NT,306,Lingiari,8701,Alice Springs,999,Informal,Informal,999,,,Informal,54,0.14
NT,306,Lingiari,8702,Alyangula,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),158,6.76
NT,306,Lingiari,8702,Alyangula,15187,CURTIS,David,2,,DEM,Australian Democrats,8,-7.26
NT,306,Lingiari,8702,Alyangula,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,86,-0.65
NT,306,Lingiari,8702,Alyangula,14619,BRISTOW,James,4,,GRN,The Greens,18,2.98
NT,306,Lingiari,8702,Alyangula,14454,MILLS,Andrew Ian,5,,IND,Independent,9,3.23
NT,306,Lingiari,8702,Alyangula,999,Informal,Informal,999,,,Informal,19,3.53
NT,306,Lingiari,8704,Batchelor,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),124,-6.81
NT,306,Lingiari,8704,Batchelor,15187,CURTIS,David,2,,DEM,Australian Democrats,5,-3.17
NT,306,Lingiari,8704,Batchelor,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,130,12.31
NT,306,Lingiari,8704,Batchelor,14619,BRISTOW,James,4,,GRN,The Greens,27,5.74
NT,306,Lingiari,8704,Batchelor,14454,MILLS,Andrew Ian,5,,IND,Independent,7,2.39
NT,306,Lingiari,8704,Batchelor,999,Informal,Informal,999,,,Informal,11,-0.39
NT,306,Lingiari,34264,Bees Creek,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),327,0.03
NT,306,Lingiari,34264,Bees Creek,15187,CURTIS,David,2,,DEM,Australian Democrats,20,-2.87
NT,306,Lingiari,34264,Bees Creek,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,516,3.75
NT,306,Lingiari,34264,Bees Creek,14619,BRISTOW,James,4,,GRN,The Greens,64,3.57
NT,306,Lingiari,34264,Bees Creek,14454,MILLS,Andrew Ian,5,,IND,Independent,23,2.42
NT,306,Lingiari,34264,Bees Creek,999,Informal,Informal,999,,,Informal,37,0.68
NT,306,Lingiari,8706,Berry Springs,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),246,-0.4
NT,306,Lingiari,8706,Berry Springs,15187,CURTIS,David,2,,DEM,Australian Democrats,8,-2.07
NT,306,Lingiari,8706,Berry Springs,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,320,0.3
NT,306,Lingiari,8706,Berry Springs,14619,BRISTOW,James,4,,GRN,The Greens,56,3.76
NT,306,Lingiari,8706,Berry Springs,14454,MILLS,Andrew Ian,5,,IND,Independent,33,4.98
NT,306,Lingiari,8706,Berry Springs,999,Informal,Informal,999,,,Informal,27,1.17
NT,306,Lingiari,34265,Blatherskite Park,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),182,29.79
NT,306,Lingiari,34265,Blatherskite Park,15187,CURTIS,David,2,,DEM,Australian Democrats,5,-6.07
NT,306,Lingiari,34265,Blatherskite Park,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,94,-21.49
NT,306,Lingiari,34265,Blatherskite Park,14619,BRISTOW,James,4,,GRN,The Greens,17,-0.34
NT,306,Lingiari,34265,Blatherskite Park,14454,MILLS,Andrew Ian,5,,IND,Independent,10,3.25
NT,306,Lingiari,34265,Blatherskite Park,999,Informal,Informal,999,,,Informal,28,5.14
NT,306,Lingiari,8707,Braitling,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),665,1.7
NT,306,Lingiari,8707,Braitling,15187,CURTIS,David,2,,DEM,Australian Democrats,24,-3.84
NT,306,Lingiari,8707,Braitling,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,896,2.52
NT,306,Lingiari,8707,Braitling,14619,BRISTOW,James,4,,GRN,The Greens,103,3.21
NT,306,Lingiari,8707,Braitling,14454,MILLS,Andrew Ian,5,,IND,Independent,28,1.63
NT,306,Lingiari,8707,Braitling,999,Informal,Informal,999,,,Informal,81,0.14
NT,306,Lingiari,8886,Christmas Island,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),311,9.37
NT,306,Lingiari,8886,Christmas Island,15187,CURTIS,David,2,,DEM,Australian Democrats,28,1.89
NT,306,Lingiari,8886,Christmas Island,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,57,-10.31
NT,306,Lingiari,8886,Christmas Island,14619,BRISTOW,James,4,,GRN,The Greens,29,0.14
NT,306,Lingiari,8886,Christmas Island,14454,MILLS,Andrew Ian,5,,IND,Independent,17,3.85
NT,306,Lingiari,8886,Christmas Island,999,Informal,Informal,999,,,Informal,28,1.48
NT,306,Lingiari,8711,Gillen,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),1119,3.65
NT,306,Lingiari,8711,Gillen,15187,CURTIS,David,2,,DEM,Australian Democrats,71,-3.8
NT,306,Lingiari,8711,Gillen,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,1267,-0.14
NT,306,Lingiari,8711,Gillen,14619,BRISTOW,James,4,,GRN,The Greens,140,3.1
NT,306,Lingiari,8711,Gillen,14454,MILLS,Andrew Ian,5,,IND,Independent,70,2.62
NT,306,Lingiari,8711,Gillen,999,Informal,Informal,999,,,Informal,112,0.75
NT,306,Lingiari,8712,Home Island,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),178,18.61
NT,306,Lingiari,8712,Home Island,15187,CURTIS,David,2,,DEM,Australian Democrats,11,3.51
NT,306,Lingiari,8712,Home Island,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,22,-20.99
NT,306,Lingiari,8712,Home Island,14619,BRISTOW,James,4,,GRN,The Greens,3,1.38
NT,306,Lingiari,8712,Home Island,14454,MILLS,Andrew Ian,5,,IND,Independent,3,1.38
NT,306,Lingiari,8712,Home Island,999,Informal,Informal,999,,,Informal,32,8.75
NT,306,Lingiari,8713,Howard Springs,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),587,0.89
NT,306,Lingiari,8713,Howard Springs,15187,CURTIS,David,2,,DEM,Australian Democrats,31,-4.31
NT,306,Lingiari,8713,Howard Springs,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,1051,3.66
NT,306,Lingiari,8713,Howard Springs,14619,BRISTOW,James,4,,GRN,The Greens,107,2.36
NT,306,Lingiari,8713,Howard Springs,14454,MILLS,Andrew Ian,5,,IND,Independent,48,2.63
NT,306,Lingiari,8713,Howard Springs,999,Informal,Informal,999,,,Informal,78,-0.71
NT,306,Lingiari,8714,Humpty Doo,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),827,0.95
NT,306,Lingiari,8714,Humpty Doo,15187,CURTIS,David,2,,DEM,Australian Democrats,49,-3.9
NT,306,Lingiari,8714,Humpty Doo,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,1326,3.6
NT,306,Lingiari,8714,Humpty Doo,14619,BRISTOW,James,4,,GRN,The Greens,165,3.03
NT,306,Lingiari,8714,Humpty Doo,14454,MILLS,Andrew Ian,5,,IND,Independent,85,3.47
NT,306,Lingiari,8714,Humpty Doo,999,Informal,Informal,999,,,Informal,126,0.82
NT,306,Lingiari,8715,Jabiru,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),175,5.34
NT,306,Lingiari,8715,Jabiru,15187,CURTIS,David,2,,DEM,Australian Democrats,18,-2.18
NT,306,Lingiari,8715,Jabiru,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,131,-3.2
NT,306,Lingiari,8715,Jabiru,14619,BRISTOW,James,4,,GRN,The Greens,18,0.96
NT,306,Lingiari,8715,Jabiru,14454,MILLS,Andrew Ian,5,,IND,Independent,13,3.66
NT,306,Lingiari,8715,Jabiru,999,Informal,Informal,999,,,Informal,9,-1.7
NT,306,Lingiari,8717,Katherine,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),685,4.51
NT,306,Lingiari,8717,Katherine,15187,CURTIS,David,2,,DEM,Australian Democrats,23,-3.31
NT,306,Lingiari,8717,Katherine,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,847,0.2
NT,306,Lingiari,8717,Katherine,14619,BRISTOW,James,4,,GRN,The Greens,103,3.68
NT,306,Lingiari,8717,Katherine,14454,MILLS,Andrew Ian,5,,IND,Independent,46,2.7
NT,306,Lingiari,8717,Katherine,999,Informal,Informal,999,,,Informal,75,-0.08
NT,306,Lingiari,12068,Katherine East,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),440,5.93
NT,306,Lingiari,12068,Katherine East,15187,CURTIS,David,2,,DEM,Australian Democrats,21,-2.46
NT,306,Lingiari,12068,Katherine East,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,492,-2.43
NT,306,Lingiari,12068,Katherine East,14619,BRISTOW,James,4,,GRN,The Greens,56,3.71
NT,306,Lingiari,12068,Katherine East,14454,MILLS,Andrew Ian,5,,IND,Independent,31,2.98
NT,306,Lingiari,12068,Katherine East,999,Informal,Informal,999,,,Informal,48,1.34
NT,306,Lingiari,12069,Larapinta,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),506,3.72
NT,306,Lingiari,12069,Larapinta,15187,CURTIS,David,2,,DEM,Australian Democrats,24,-4.28
NT,306,Lingiari,12069,Larapinta,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,637,-0.79
NT,306,Lingiari,12069,Larapinta,14619,BRISTOW,James,4,,GRN,The Greens,76,3.9
NT,306,Lingiari,12069,Larapinta,14454,MILLS,Andrew Ian,5,,IND,Independent,21,1.66
NT,306,Lingiari,12069,Larapinta,999,Informal,Informal,999,,,Informal,52,-0.48
NT,306,Lingiari,8723,Nhulunbuy,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),669,4.59
NT,306,Lingiari,8723,Nhulunbuy,15187,CURTIS,David,2,,DEM,Australian Democrats,22,-4.98
NT,306,Lingiari,8723,Nhulunbuy,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,488,-2.09
NT,306,Lingiari,8723,Nhulunbuy,14619,BRISTOW,James,4,,GRN,The Greens,94,3.64
NT,306,Lingiari,8723,Nhulunbuy,14454,MILLS,Andrew Ian,5,,IND,Independent,38,2.9
NT,306,Lingiari,8723,Nhulunbuy,999,Informal,Informal,999,,,Informal,69,-0.24
NT,306,Lingiari,8727,Pine Creek,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),33,10.3
NT,306,Lingiari,8727,Pine Creek,15187,CURTIS,David,2,,DEM,Australian Democrats,1,-2.43
NT,306,Lingiari,8727,Pine Creek,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,45,2.12
NT,306,Lingiari,8727,Pine Creek,14619,BRISTOW,James,4,,GRN,The Greens,3,-0.05
NT,306,Lingiari,8727,Pine Creek,14454,MILLS,Andrew Ian,5,,IND,Independent,2,2.38
NT,306,Lingiari,8727,Pine Creek,999,Informal,Informal,999,,,Informal,1,-2.32
NT,306,Lingiari,34143,Prison Mobile Team 1,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),85,-0.35
NT,306,Lingiari,34143,Prison Mobile Team 1,15187,CURTIS,David,2,,DEM,Australian Democrats,6,2.61
NT,306,Lingiari,34143,Prison Mobile Team 1,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,3,-3.87
NT,306,Lingiari,34143,Prison Mobile Team 1,14619,BRISTOW,James,4,,GRN,The Greens,1,1.01
NT,306,Lingiari,34143,Prison Mobile Team 1,14454,MILLS,Andrew Ian,5,,IND,Independent,4,4.04
NT,306,Lingiari,34143,Prison Mobile Team 1,999,Informal,Informal,999,,,Informal,10,9.17
NT,306,Lingiari,34147,Remote Mobile Team 1,14577,SNOWDON,Warren,1,#,ALP,Australian Labor Party (ALP),917,4.92
NT,306,Lingiari,34147,Remote Mobile Team 1,15187,CURTIS,David,2,,DEM,Australian Democrats,42,1.62
NT,306,Lingiari,34147,Remote Mobile Team 1,14682,AUSTIN,Maisie,3,,CLP,CLP-The Territory Party,194,-4.88
NT,306,Lingiari,34147,Remote Mobile Team 1,14619,BRISTOW,James,4,,GRN,The Greens,18,0.26
