2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [12246 8/11/2005 11:07:44 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,31692,Amberley,15254,PRICE,Alan,1,,NCO,New Country,11,1.75
QLD,304,Blair,31692,Amberley,15461,BENNETT,John,2,,TGA,The Great Australians,3,0.48
QLD,304,Blair,31692,Amberley,14926,THOMPSON,Cameron,3,#,LP,Liberal,356,8.45
QLD,304,Blair,31692,Amberley,15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,15,0.36
QLD,304,Blair,31692,Amberley,15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,1,-0.39
QLD,304,Blair,31692,Amberley,15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,193,5.59
QLD,304,Blair,31692,Amberley,15258,McKENZIE,Neal,7,,DEM,Australian Democrats,7,-4.99
QLD,304,Blair,31692,Amberley,15315,CHIDGEY,David,8,,HAN,One Nation,21,-12
QLD,304,Blair,31692,Amberley,15084,SMITH,Priscilla,9,,FFP,Family First,21,3.34
QLD,304,Blair,31692,Amberley,999,Informal,Informal,999,,,Informal,34,-0.61
QLD,304,Blair,5461,Blackbutt,15254,PRICE,Alan,1,,NCO,New Country,16,1.59
QLD,304,Blair,5461,Blackbutt,15461,BENNETT,John,2,,TGA,The Great Australians,7,0.7
QLD,304,Blair,5461,Blackbutt,14926,THOMPSON,Cameron,3,#,LP,Liberal,463,6.09
QLD,304,Blair,5461,Blackbutt,15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,26,-1.6
QLD,304,Blair,5461,Blackbutt,15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,3,0
QLD,304,Blair,5461,Blackbutt,15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,341,5.22
QLD,304,Blair,5461,Blackbutt,15258,McKENZIE,Neal,7,,DEM,Australian Democrats,13,-0.11
QLD,304,Blair,5461,Blackbutt,15315,CHIDGEY,David,8,,HAN,One Nation,110,-8.09
QLD,304,Blair,5461,Blackbutt,15084,SMITH,Priscilla,9,,FFP,Family First,26,2.59
QLD,304,Blair,5461,Blackbutt,999,Informal,Informal,999,,,Informal,65,-0.63
QLD,304,Blair,6345,Blair School,15254,PRICE,Alan,1,,NCO,New Country,24,1.34
QLD,304,Blair,6345,Blair School,15461,BENNETT,John,2,,TGA,The Great Australians,3,0.17
QLD,304,Blair,6345,Blair School,14926,THOMPSON,Cameron,3,#,LP,Liberal,741,4.61
QLD,304,Blair,6345,Blair School,15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,110,2.51
QLD,304,Blair,6345,Blair School,15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,9,0.2
QLD,304,Blair,6345,Blair School,15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,758,0.1
QLD,304,Blair,6345,Blair School,15258,McKENZIE,Neal,7,,DEM,Australian Democrats,32,-2.52
QLD,304,Blair,6345,Blair School,15315,CHIDGEY,David,8,,HAN,One Nation,44,-7.67
QLD,304,Blair,6345,Blair School,15084,SMITH,Priscilla,9,,FFP,Family First,68,3.8
QLD,304,Blair,6345,Blair School,999,Informal,Informal,999,,,Informal,78,-1.59
QLD,304,Blair,5602,Blenheim,15254,PRICE,Alan,1,,NCO,New Country,12,3.73
QLD,304,Blair,5602,Blenheim,15461,BENNETT,John,2,,TGA,The Great Australians,3,0.93
QLD,304,Blair,5602,Blenheim,14926,THOMPSON,Cameron,3,#,LP,Liberal,181,12.15
QLD,304,Blair,5602,Blenheim,15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,7,0.42
QLD,304,Blair,5602,Blenheim,15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,0,-0.7
QLD,304,Blair,5602,Blenheim,15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,84,5.46
QLD,304,Blair,5602,Blenheim,15258,McKENZIE,Neal,7,,DEM,Australian Democrats,1,-1.79
QLD,304,Blair,5602,Blenheim,15315,CHIDGEY,David,8,,HAN,One Nation,25,-16.72
QLD,304,Blair,5602,Blenheim,15084,SMITH,Priscilla,9,,FFP,Family First,9,2.8
QLD,304,Blair,5602,Blenheim,999,Informal,Informal,999,,,Informal,23,1.37
QLD,304,Blair,6347,Brassall,15254,PRICE,Alan,1,,NCO,New Country,21,1.21
QLD,304,Blair,6347,Brassall,15461,BENNETT,John,2,,TGA,The Great Australians,2,0.12
QLD,304,Blair,6347,Brassall,14926,THOMPSON,Cameron,3,#,LP,Liberal,859,7.53
QLD,304,Blair,6347,Brassall,15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,40,0.11
QLD,304,Blair,6347,Brassall,15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,13,0.55
QLD,304,Blair,6347,Brassall,15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,687,0.29
QLD,304,Blair,6347,Brassall,15258,McKENZIE,Neal,7,,DEM,Australian Democrats,24,-1.47
QLD,304,Blair,6347,Brassall,15315,CHIDGEY,David,8,,HAN,One Nation,33,-9.38
QLD,304,Blair,6347,Brassall,15084,SMITH,Priscilla,9,,FFP,Family First,60,3.45
QLD,304,Blair,6347,Brassall,999,Informal,Informal,999,,,Informal,68,-2.46
QLD,304,Blair,32553,Brisbane City (Blair),15254,PRICE,Alan,1,,NCO,New Country,0,0
QLD,304,Blair,32553,Brisbane City (Blair),15461,BENNETT,John,2,,TGA,The Great Australians,1,1.52
QLD,304,Blair,32553,Brisbane City (Blair),14926,THOMPSON,Cameron,3,#,LP,Liberal,25,-4.37
QLD,304,Blair,32553,Brisbane City (Blair),15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,7,-0.66
QLD,304,Blair,32553,Brisbane City (Blair),15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,0,0
QLD,304,Blair,32553,Brisbane City (Blair),15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,21,2.24
QLD,304,Blair,32553,Brisbane City (Blair),15258,McKENZIE,Neal,7,,DEM,Australian Democrats,2,-8.24
QLD,304,Blair,32553,Brisbane City (Blair),15315,CHIDGEY,David,8,,HAN,One Nation,5,4.76
QLD,304,Blair,32553,Brisbane City (Blair),15084,SMITH,Priscilla,9,,FFP,Family First,5,7.58
QLD,304,Blair,32553,Brisbane City (Blair),999,Informal,Informal,999,,,Informal,3,0.3
QLD,304,Blair,33105,Brooklands,15254,PRICE,Alan,1,,NCO,New Country,1,0.65
QLD,304,Blair,33105,Brooklands,15461,BENNETT,John,2,,TGA,The Great Australians,2,1.31
QLD,304,Blair,33105,Brooklands,14926,THOMPSON,Cameron,3,#,LP,Liberal,83,15.33
QLD,304,Blair,33105,Brooklands,15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,5,3.27
QLD,304,Blair,33105,Brooklands,15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,2,0.11
QLD,304,Blair,33105,Brooklands,15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,38,6.28
QLD,304,Blair,33105,Brooklands,15258,McKENZIE,Neal,7,,DEM,Australian Democrats,0,-2.4
QLD,304,Blair,33105,Brooklands,15315,CHIDGEY,David,8,,HAN,One Nation,19,-16.92
QLD,304,Blair,33105,Brooklands,15084,SMITH,Priscilla,9,,FFP,Family First,3,1.96
QLD,304,Blair,33105,Brooklands,999,Informal,Informal,999,,,Informal,4,1.37
QLD,304,Blair,6352,Central School (Blair),15254,PRICE,Alan,1,,NCO,New Country,9,1.23
QLD,304,Blair,6352,Central School (Blair),15461,BENNETT,John,2,,TGA,The Great Australians,4,0.55
QLD,304,Blair,6352,Central School (Blair),14926,THOMPSON,Cameron,3,#,LP,Liberal,335,9.69
QLD,304,Blair,6352,Central School (Blair),15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,32,1.58
QLD,304,Blair,6352,Central School (Blair),15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,1,0.14
QLD,304,Blair,6352,Central School (Blair),15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,290,-2.23
QLD,304,Blair,6352,Central School (Blair),15258,McKENZIE,Neal,7,,DEM,Australian Democrats,21,-2.58
QLD,304,Blair,6352,Central School (Blair),15315,CHIDGEY,David,8,,HAN,One Nation,21,-10.84
QLD,304,Blair,6352,Central School (Blair),15084,SMITH,Priscilla,9,,FFP,Family First,18,2.46
QLD,304,Blair,6352,Central School (Blair),999,Informal,Informal,999,,,Informal,25,-1.15
QLD,304,Blair,6353,Churchill,15254,PRICE,Alan,1,,NCO,New Country,65,2.02
QLD,304,Blair,6353,Churchill,15461,BENNETT,John,2,,TGA,The Great Australians,16,0.5
QLD,304,Blair,6353,Churchill,14926,THOMPSON,Cameron,3,#,LP,Liberal,1544,9.22
QLD,304,Blair,6353,Churchill,15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,76,0.09
QLD,304,Blair,6353,Churchill,15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,4,-0.1
QLD,304,Blair,6353,Churchill,15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,1226,-0.91
QLD,304,Blair,6353,Churchill,15258,McKENZIE,Neal,7,,DEM,Australian Democrats,44,-4.49
QLD,304,Blair,6353,Churchill,15315,CHIDGEY,David,8,,HAN,One Nation,92,-9.79
QLD,304,Blair,6353,Churchill,15084,SMITH,Priscilla,9,,FFP,Family First,143,4.45
QLD,304,Blair,6353,Churchill,999,Informal,Informal,999,,,Informal,227,1.82
QLD,304,Blair,6553,Coolabunia,15254,PRICE,Alan,1,,NCO,New Country,5,1.32
QLD,304,Blair,6553,Coolabunia,15461,BENNETT,John,2,,TGA,The Great Australians,1,0.26
QLD,304,Blair,6553,Coolabunia,14926,THOMPSON,Cameron,3,#,LP,Liberal,255,2.46
QLD,304,Blair,6553,Coolabunia,15212,O'REILLY-REIS,Sarai E,4,,GRN,The Greens,4,-1
QLD,304,Blair,6553,Coolabunia,15080,STAPLETON,Rodney,5,,CEC,Citizens Electoral Council,0,0
QLD,304,Blair,6553,Coolabunia,15089,NEUMANN,Shayne,6,,ALP,Australian Labor Party,59,5.32
QLD,304,Blair,6553,Coolabunia,15258,McKENZIE,Neal,7,,DEM,Australian Democrats,3,-0.09
