2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [12246 8/11/2005 11:07:30 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6648,Adelaide (Adelaide),14605,WORTH,Trish,1,,LP,Liberal,177,1.37
SA,179,Adelaide,6648,Adelaide (Adelaide),14860,PASCOE,Richard,2,,DEM,Australian Democrats,17,-15.72
SA,179,Adelaide,6648,Adelaide (Adelaide),14409,ELLIS,Kate,3,#,ALP,Australian Labor Party,196,7.34
SA,179,Adelaide,6648,Adelaide (Adelaide),14489,BARLOW,Amanda,4,,IND,Independent,10,2.07
SA,179,Adelaide,6648,Adelaide (Adelaide),14870,BUGDEN,Jake,5,,GRN,The Greens,71,4.79
SA,179,Adelaide,6648,Adelaide (Adelaide),14807,ROBINS,Peter G,6,,FFP,Family First,12,2.48
SA,179,Adelaide,6648,Adelaide (Adelaide),999,Informal,Informal,999,,,Informal,26,-0.14
SA,179,Adelaide,6649,Adelaide East,14605,WORTH,Trish,1,,LP,Liberal,471,-1.67
SA,179,Adelaide,6649,Adelaide East,14860,PASCOE,Richard,2,,DEM,Australian Democrats,28,-9.93
SA,179,Adelaide,6649,Adelaide East,14409,ELLIS,Kate,3,#,ALP,Australian Labor Party,418,11.53
SA,179,Adelaide,6649,Adelaide East,14489,BARLOW,Amanda,4,,IND,Independent,9,0.87
SA,179,Adelaide,6649,Adelaide East,14870,BUGDEN,Jake,5,,GRN,The Greens,99,-0.21
SA,179,Adelaide,6649,Adelaide East,14807,ROBINS,Peter G,6,,FFP,Family First,8,0.77
SA,179,Adelaide,6649,Adelaide East,999,Informal,Informal,999,,,Informal,35,-0.02
SA,179,Adelaide,6650,Adelaide Hospital,14605,WORTH,Trish,1,,LP,Liberal,151,-3.95
SA,179,Adelaide,6650,Adelaide Hospital,14860,PASCOE,Richard,2,,DEM,Australian Democrats,10,-13.65
SA,179,Adelaide,6650,Adelaide Hospital,14409,ELLIS,Kate,3,#,ALP,Australian Labor Party,164,15.32
SA,179,Adelaide,6650,Adelaide Hospital,14489,BARLOW,Amanda,4,,IND,Independent,2,0.51
SA,179,Adelaide,6650,Adelaide Hospital,14870,BUGDEN,Jake,5,,GRN,The Greens,56,1.72
SA,179,Adelaide,6650,Adelaide Hospital,14807,ROBINS,Peter G,6,,FFP,Family First,6,1.54
SA,179,Adelaide,6650,Adelaide Hospital,999,Informal,Informal,999,,,Informal,9,-3.57
SA,179,Adelaide,6651,Adelaide South,14605,WORTH,Trish,1,,LP,Liberal,730,1.37
SA,179,Adelaide,6651,Adelaide South,14860,PASCOE,Richard,2,,DEM,Australian Democrats,36,-11.2
SA,179,Adelaide,6651,Adelaide South,14409,ELLIS,Kate,3,#,ALP,Australian Labor Party,780,4.95
SA,179,Adelaide,6651,Adelaide South,14489,BARLOW,Amanda,4,,IND,Independent,30,1.62
SA,179,Adelaide,6651,Adelaide South,14870,BUGDEN,Jake,5,,GRN,The Greens,260,3.35
SA,179,Adelaide,6651,Adelaide South,14807,ROBINS,Peter G,6,,FFP,Family First,17,0.92
SA,179,Adelaide,6651,Adelaide South,999,Informal,Informal,999,,,Informal,63,-1.06
SA,179,Adelaide,6652,Adelaide West,14605,WORTH,Trish,1,,LP,Liberal,141,3.62
