2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [12246 8/11/2005 11:07:27 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8289,Blessington Upper,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,1,1.32
TAS,192,Bass,8289,Blessington Upper,14644,FERGUSON,Michael,2,#,LP,Liberal,35,10.23
TAS,192,Bass,8289,Blessington Upper,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,29,11.29
TAS,192,Bass,8289,Blessington Upper,15230,BALL,Jeremy,4,,GRN,Australian Greens,9,-0.1
TAS,192,Bass,8289,Blessington Upper,14667,BERGMAN,Christine,5,,FFP,Family First,2,2.63
TAS,192,Bass,8289,Blessington Upper,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,0,0
TAS,192,Bass,8289,Blessington Upper,999,Informal,Informal,999,,,Informal,6,-0.9
TAS,192,Bass,8290,Branxholm,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,2,0.89
TAS,192,Bass,8290,Branxholm,14644,FERGUSON,Michael,2,#,LP,Liberal,110,13.57
TAS,192,Bass,8290,Branxholm,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,96,-5.59
TAS,192,Bass,8290,Branxholm,15230,BALL,Jeremy,4,,GRN,Australian Greens,12,1.35
TAS,192,Bass,8290,Branxholm,14667,BERGMAN,Christine,5,,FFP,Family First,4,1.78
TAS,192,Bass,8290,Branxholm,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,1,0.44
TAS,192,Bass,8290,Branxholm,999,Informal,Informal,999,,,Informal,11,1.29
TAS,192,Bass,8291,Bridport,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,10,0.74
TAS,192,Bass,8291,Bridport,14644,FERGUSON,Michael,2,#,LP,Liberal,704,10.14
TAS,192,Bass,8291,Bridport,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,399,-4.57
TAS,192,Bass,8291,Bridport,15230,BALL,Jeremy,4,,GRN,Australian Greens,73,0.74
TAS,192,Bass,8291,Bridport,14667,BERGMAN,Christine,5,,FFP,Family First,11,0.92
TAS,192,Bass,8291,Bridport,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,5,0.42
TAS,192,Bass,8291,Bridport,999,Informal,Informal,999,,,Informal,59,-0.15
TAS,192,Bass,8294,Cosgrove Park,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,6,1.9
TAS,192,Bass,8294,Cosgrove Park,14644,FERGUSON,Michael,2,#,LP,Liberal,154,1.1
TAS,192,Bass,8294,Cosgrove Park,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,134,1.58
TAS,192,Bass,8294,Cosgrove Park,15230,BALL,Jeremy,4,,GRN,Australian Greens,14,1.18
TAS,192,Bass,8294,Cosgrove Park,14667,BERGMAN,Christine,5,,FFP,Family First,6,1.9
TAS,192,Bass,8294,Cosgrove Park,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,2,0.63
TAS,192,Bass,8294,Cosgrove Park,999,Informal,Informal,999,,,Informal,10,-2.78
TAS,192,Bass,8295,Derby,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,4,2.58
TAS,192,Bass,8295,Derby,14644,FERGUSON,Michael,2,#,LP,Liberal,71,5.4
TAS,192,Bass,8295,Derby,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,51,-9.57
TAS,192,Bass,8295,Derby,15230,BALL,Jeremy,4,,GRN,Australian Greens,25,9.28
TAS,192,Bass,8295,Derby,14667,BERGMAN,Christine,5,,FFP,Family First,2,1.29
TAS,192,Bass,8295,Derby,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,2,1.29
TAS,192,Bass,8295,Derby,999,Informal,Informal,999,,,Informal,4,-1.43
TAS,192,Bass,8296,Dilston,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,5,0.3
TAS,192,Bass,8296,Dilston,14644,FERGUSON,Michael,2,#,LP,Liberal,330,6.08
TAS,192,Bass,8296,Dilston,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,236,0.42
TAS,192,Bass,8296,Dilston,15230,BALL,Jeremy,4,,GRN,Australian Greens,70,1.1
TAS,192,Bass,8296,Dilston,14667,BERGMAN,Christine,5,,FFP,Family First,13,1.98
TAS,192,Bass,8296,Dilston,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,2,0.3
TAS,192,Bass,8296,Dilston,999,Informal,Informal,999,,,Informal,21,-2.22
TAS,192,Bass,8313,East Launceston,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,7,0.58
TAS,192,Bass,8313,East Launceston,14644,FERGUSON,Michael,2,#,LP,Liberal,451,0.61
TAS,192,Bass,8313,East Launceston,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,333,1.68
TAS,192,Bass,8313,East Launceston,15230,BALL,Jeremy,4,,GRN,Australian Greens,142,2.68
TAS,192,Bass,8313,East Launceston,14667,BERGMAN,Christine,5,,FFP,Family First,18,1.89
TAS,192,Bass,8313,East Launceston,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,3,0.31
TAS,192,Bass,8313,East Launceston,999,Informal,Informal,999,,,Informal,20,-0.49
TAS,192,Bass,8297,Elphin,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,8,0.79
TAS,192,Bass,8297,Elphin,14644,FERGUSON,Michael,2,#,LP,Liberal,340,7.46
TAS,192,Bass,8297,Elphin,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,280,-0.62
TAS,192,Bass,8297,Elphin,15230,BALL,Jeremy,4,,GRN,Australian Greens,66,-0.6
TAS,192,Bass,8297,Elphin,14667,BERGMAN,Christine,5,,FFP,Family First,18,2.52
TAS,192,Bass,8297,Elphin,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,2,0.28
TAS,192,Bass,8297,Elphin,999,Informal,Informal,999,,,Informal,25,-1.31
TAS,192,Bass,8314,Five Ways,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,29,1.44
TAS,192,Bass,8314,Five Ways,14644,FERGUSON,Michael,2,#,LP,Liberal,795,6.03
TAS,192,Bass,8314,Five Ways,14291,O'BYRNE,Michelle,3,,ALP,Australian Labor Party,675,-2.91
TAS,192,Bass,8314,Five Ways,15230,BALL,Jeremy,4,,GRN,Australian Greens,128,1.35
TAS,192,Bass,8314,Five Ways,14667,BERGMAN,Christine,5,,FFP,Family First,29,1.74
TAS,192,Bass,8314,Five Ways,14214,de LANDELLES,Meredith,6,,SAL,Socialist Alliance,10,0.6
TAS,192,Bass,8314,Five Ways,999,Informal,Informal,999,,,Informal,63,-0.96
TAS,192,Bass,8300,General Hospital,14275,LARNER,Caroline,1,,CEC,Citizens Electoral Council,12,1.91
TAS,192,Bass,8300,General Hospital,14644,FERGUSON,Michael,2,#,LP,Liberal,221,2.84
