2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [12246 8/11/2005 11:07:35 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,7472,Baldivis,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,56,2.01
WA,235,Brand,7472,Baldivis,14146,JENKINS,Jean,2,,GRN,The Greens,86,0.71
WA,235,Brand,7472,Baldivis,14139,KETTLE,Gerard,3,,IND,Independent,19,1.09
WA,235,Brand,7472,Baldivis,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,28,-3.98
WA,235,Brand,7472,Baldivis,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,16,-1.27
WA,235,Brand,7472,Baldivis,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,594,-2.29
WA,235,Brand,7472,Baldivis,14946,EDMAN,Phil,7,,LP,Liberal,917,18.38
WA,235,Brand,7472,Baldivis,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,24,1.15
WA,235,Brand,7472,Baldivis,999,Informal,Informal,999,,,Informal,95,1.89
WA,235,Brand,7478,Calista,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,71,1.32
WA,235,Brand,7478,Calista,14146,JENKINS,Jean,2,,GRN,The Greens,150,2.83
WA,235,Brand,7478,Calista,14139,KETTLE,Gerard,3,,IND,Independent,27,1.08
WA,235,Brand,7478,Calista,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,72,-3.1
WA,235,Brand,7478,Calista,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,21,-2.37
WA,235,Brand,7478,Calista,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,1425,-3.78
WA,235,Brand,7478,Calista,14946,EDMAN,Phil,7,,LP,Liberal,695,12.89
WA,235,Brand,7478,Calista,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,37,1.2
WA,235,Brand,7478,Calista,999,Informal,Informal,999,,,Informal,221,3.39
WA,235,Brand,11602,Coodanup,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,34,1.04
WA,235,Brand,11602,Coodanup,14146,JENKINS,Jean,2,,GRN,The Greens,67,-0.29
WA,235,Brand,11602,Coodanup,14139,KETTLE,Gerard,3,,IND,Independent,31,1.72
WA,235,Brand,11602,Coodanup,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,62,-3.78
WA,235,Brand,11602,Coodanup,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,17,-0.3
WA,235,Brand,11602,Coodanup,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,896,-4.6
WA,235,Brand,11602,Coodanup,14946,EDMAN,Phil,7,,LP,Liberal,681,13.95
WA,235,Brand,11602,Coodanup,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,11,0.16
WA,235,Brand,11602,Coodanup,999,Informal,Informal,999,,,Informal,109,1.23
WA,235,Brand,7480,Cooloongup,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,82,1.89
WA,235,Brand,7480,Cooloongup,14146,JENKINS,Jean,2,,GRN,The Greens,154,1.3
WA,235,Brand,7480,Cooloongup,14139,KETTLE,Gerard,3,,IND,Independent,49,1.4
WA,235,Brand,7480,Cooloongup,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,106,-2.9
WA,235,Brand,7480,Cooloongup,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,23,-1.15
WA,235,Brand,7480,Cooloongup,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,2000,-5.23
WA,235,Brand,7480,Cooloongup,14946,EDMAN,Phil,7,,LP,Liberal,1054,13.6
