2004 Federal Election House of Representatives Two Party Preferred By Polling Place [12246 8/11/2005 11:09:42 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
ACT,101,Canberra,11877,Bonython,725,41.12,1038,58.88,1763,-0.38
ACT,101,Canberra,11452,Calwell,1160,40.57,1699,59.43,2859,-1.25
ACT,101,Canberra,8794,Canberra Hospital,361,38.16,585,61.84,946,-2.03
ACT,101,Canberra,8761,Chapman,960,40.52,1409,59.48,2369,-1
ACT,101,Canberra,8762,Chifley,504,33.49,1001,66.51,1505,-0.89
ACT,101,Canberra,8763,Chisholm,791,41.96,1094,58.04,1885,2.29
ACT,101,Canberra,31298,Conder,1401,43.33,1832,56.67,3233,4.78
ACT,101,Canberra,8764,Curtin,1021,34.5,1938,65.5,2959,-2.99
ACT,101,Canberra,8766,Deakin,695,50.55,680,49.45,1375,-2.66
ACT,101,Canberra,8767,Duffy,583,35.23,1072,64.77,1655,1.22
ACT,101,Canberra,8768,Fadden,997,45.86,1177,54.14,2174,-0.76
ACT,101,Canberra,8769,Farrer,1241,46.25,1442,53.75,2683,-0.14
ACT,101,Canberra,8771,Gilmore,905,41.57,1272,58.43,2177,-0.4
ACT,101,Canberra,12072,Gordon,1804,44.16,2281,55.84,4085,0.81
ACT,101,Canberra,8772,Gowrie,782,40.16,1165,59.84,1947,-1.68
ACT,101,Canberra,8773,Holder,538,36.06,954,63.94,1492,0.09
ACT,101,Canberra,8774,Hughes,1169,38.07,1902,61.93,3071,-2.9
ACT,101,Canberra,8884,Isabella Plains,1044,42.91,1389,57.09,2433,1.74
ACT,101,Canberra,8775,Kambah East,691,36.76,1189,63.24,1880,-1.11
ACT,101,Canberra,8776,Kambah North,603,38.8,951,61.2,1554,2.46
ACT,101,Canberra,8777,Kambah South,632,36.47,1101,63.53,1733,0.76
ACT,101,Canberra,8778,Kambah West,1266,38.17,2051,61.83,3317,-0.34
ACT,101,Canberra,8779,Lyons,435,31.68,938,68.32,1373,-0.34
ACT,101,Canberra,8780,Mawson,1143,40.89,1652,59.11,2795,-1.36
ACT,101,Canberra,8781,Monash,1184,40.35,1750,59.65,2934,0.95
ACT,101,Canberra,8783,Oaks Estate,54,38.03,88,61.97,142,-1.38
ACT,101,Canberra,8784,Pearce,888,36.75,1528,63.25,2416,-5.04
ACT,101,Canberra,8785,Red Hill,853,48.33,912,51.67,1765,0.81
ACT,101,Canberra,8786,Richardson,687,40.46,1011,59.54,1698,-0.18
ACT,101,Canberra,8787,Rivett,597,34.53,1132,65.47,1729,-3.5
ACT,101,Canberra,32712,Special Hospital Team 1,172,63.7,98,36.3,270,3.11
ACT,101,Canberra,32713,Special Hospital Team 2,205,54.23,173,45.77,378,-6.6
ACT,101,Canberra,8788,Tharwa,65,49.62,66,50.38,131,3.69
ACT,101,Canberra,11878,Theodore,685,44.39,858,55.61,1543,5.45
ACT,101,Canberra,8790,Wanniassa,983,36.39,1718,63.61,2701,-0.82
ACT,101,Canberra,8791,Wanniassa Hills,1058,39.82,1599,60.18,2657,-0.96
ACT,101,Canberra,8792,Waramanga,1188,37.07,2017,62.93,3205,0.28
ACT,101,Canberra,8793,Weston,660,37.16,1116,62.84,1776,-1.71
ACT,101,Canberra,8840,Yarralumla,637,38.56,1015,61.44,1652,0.77
ACT,102,Fraser,8802,Ainslie,555,29.26,1342,70.74,1897,1.48
ACT,102,Fraser,8801,Ainslie North,493,23.33,1620,76.67,2113,-4.1
ACT,102,Fraser,38197,Amaroo,1046,53.12,923,46.88,1969,9.15
ACT,102,Fraser,8803,Aranda,721,26.81,1968,73.19,2689,-3.25
ACT,102,Fraser,8804,Baker Gardens,177,23.66,571,76.34,748,-1.24
ACT,102,Fraser,8829,Barton,579,40.77,841,59.23,1420,0.37
ACT,102,Fraser,8805,Belconnen,823,32.01,1748,67.99,2571,-3.97
ACT,102,Fraser,12073,Bruce,227,44.42,284,55.58,511,1.94
ACT,102,Fraser,8806,Campbell,1281,53.22,1126,46.78,2407,5.08
ACT,102,Fraser,8807,Charnwood,1289,39.29,1992,60.71,3281,1.36
