2007 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:13745 Phase:FinalResults Generated:2008-09-03T12:43:44 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8829,Barton,18175,COLBERT,Natalie,2,N,N,LP,Liberal,847,-1.92
ACT,101,Canberra,8829,Barton,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1333,1.92
ACT,101,Canberra,11877,Bonython,18175,COLBERT,Natalie,2,N,N,LP,Liberal,809,-2.35
ACT,101,Canberra,11877,Bonython,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1280,2.35
ACT,101,Canberra,11452,Calwell,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1123,0.01
ACT,101,Canberra,11452,Calwell,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1646,-0.01
ACT,101,Canberra,8794,Canberra Hospital,18175,COLBERT,Natalie,2,N,N,LP,Liberal,350,-1.93
ACT,101,Canberra,8794,Canberra Hospital,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,621,1.93
ACT,101,Canberra,8761,Chapman,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1214,-0.48
ACT,101,Canberra,8761,Chapman,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1913,0.48
ACT,101,Canberra,8763,Chisholm,18175,COLBERT,Natalie,2,N,N,LP,Liberal,716,-4.79
ACT,101,Canberra,8763,Chisholm,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1210,4.79
ACT,101,Canberra,31298,Conder,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1474,-2.31
ACT,101,Canberra,31298,Conder,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,2122,2.31
ACT,101,Canberra,8764,Curtin,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1138,1.77
ACT,101,Canberra,8764,Curtin,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1999,-1.77
ACT,101,Canberra,8766,Deakin,18175,COLBERT,Natalie,2,N,N,LP,Liberal,814,0.03
ACT,101,Canberra,8766,Deakin,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,799,-0.03
ACT,101,Canberra,8767,Duffy,18175,COLBERT,Natalie,2,N,N,LP,Liberal,674,-1.54
ACT,101,Canberra,8767,Duffy,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1332,1.54
ACT,101,Canberra,8768,Fadden,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1096,-2.45
ACT,101,Canberra,8768,Fadden,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1430,2.45
ACT,101,Canberra,8769,Farrer,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1225,-1.16
ACT,101,Canberra,8769,Farrer,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1500,1.16
ACT,101,Canberra,8771,Gilmore,18175,COLBERT,Natalie,2,N,N,LP,Liberal,908,-1.62
ACT,101,Canberra,8771,Gilmore,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1368,1.62
ACT,101,Canberra,12072,Gordon,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1947,-2.2
ACT,101,Canberra,12072,Gordon,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,2698,2.2
ACT,101,Canberra,8772,Gowrie,18175,COLBERT,Natalie,2,N,N,LP,Liberal,899,0.33
ACT,101,Canberra,8772,Gowrie,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1322,-0.33
ACT,101,Canberra,8817,Griffith,18175,COLBERT,Natalie,2,N,N,LP,Liberal,696,5.55
ACT,101,Canberra,8817,Griffith,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,992,-5.55
ACT,101,Canberra,8773,Holder,18175,COLBERT,Natalie,2,N,N,LP,Liberal,716,-0.72
ACT,101,Canberra,8773,Holder,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1324,0.72
ACT,101,Canberra,8774,Hughes,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1268,0.06
ACT,101,Canberra,8774,Hughes,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,2063,-0.06
ACT,101,Canberra,8884,Isabella Plains,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1040,-4.69
ACT,101,Canberra,8884,Isabella Plains,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1687,4.69
ACT,101,Canberra,8775,Kambah East,18175,COLBERT,Natalie,2,N,N,LP,Liberal,615,-3.46
ACT,101,Canberra,8775,Kambah East,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1233,3.46
ACT,101,Canberra,8776,Kambah North,18175,COLBERT,Natalie,2,N,N,LP,Liberal,544,-5.12
ACT,101,Canberra,8776,Kambah North,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1072,5.12
ACT,101,Canberra,8777,Kambah South,18175,COLBERT,Natalie,2,N,N,LP,Liberal,610,-4.12
ACT,101,Canberra,8777,Kambah South,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1277,4.12
ACT,101,Canberra,8778,Kambah West,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1092,-2.07
ACT,101,Canberra,8778,Kambah West,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1937,2.07
ACT,101,Canberra,8779,Lyons,18175,COLBERT,Natalie,2,N,N,LP,Liberal,567,-0.7
ACT,101,Canberra,8779,Lyons,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1239,0.7
ACT,101,Canberra,8780,Mawson,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1190,-1.58
ACT,101,Canberra,8780,Mawson,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1847,1.58
ACT,101,Canberra,8781,Monash,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1288,-0.75
ACT,101,Canberra,8781,Monash,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1967,0.75
ACT,101,Canberra,8782,Narrabundah,18175,COLBERT,Natalie,2,N,N,LP,Liberal,724,-1.8
ACT,101,Canberra,8782,Narrabundah,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1620,1.8
ACT,101,Canberra,8783,Oaks Estate,18175,COLBERT,Natalie,2,N,N,LP,Liberal,44,-6.55
ACT,101,Canberra,8783,Oaks Estate,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,97,6.55
ACT,101,Canberra,8784,Pearce,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1187,-0.71
ACT,101,Canberra,8784,Pearce,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,2176,0.71
ACT,101,Canberra,8785,Red Hill,18175,COLBERT,Natalie,2,N,N,LP,Liberal,1015,-6.75
ACT,101,Canberra,8785,Red Hill,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1444,6.75
ACT,101,Canberra,8786,Richardson,18175,COLBERT,Natalie,2,N,N,LP,Liberal,684,-3.7
ACT,101,Canberra,8786,Richardson,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,1182,3.7
ACT,101,Canberra,32712,Special Hospital Team 1,18175,COLBERT,Natalie,2,N,N,LP,Liberal,54,2.94
ACT,101,Canberra,32712,Special Hospital Team 1,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,36,-2.94
ACT,101,Canberra,32713,Special Hospital Team 2,18175,COLBERT,Natalie,2,N,N,LP,Liberal,82,-9.19
ACT,101,Canberra,32713,Special Hospital Team 2,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,89,9.19
ACT,101,Canberra,38492,Special Hospital Team 3,18175,COLBERT,Natalie,2,N,N,LP,Liberal,52,-8.74
ACT,101,Canberra,38492,Special Hospital Team 3,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,56,8.74
ACT,101,Canberra,46425,Stirling,18175,COLBERT,Natalie,2,N,N,LP,Liberal,264,-4.46
ACT,101,Canberra,46425,Stirling,17614,ELLIS,Annette,3,Y,Y,ALP,Australian Labor Party,561,4.46
