,Party,2019,2014,%2019,%2014,municipality
0,Open Vld,7.333,8.596,"13,55%","15,71%",Aalst
1,N-VA,14.655,20.618,"27,07%","37,69%",Aalst
2,VLAAMS BELANG,13.768,4.305,"25,44%","7,87%",Aalst
3,CD&V,5.285,7.845,"9,76%","14,34%",Aalst
4,PVDA,2.440,-,"4,51%",-,Aalst
5,PVDA+,-,1.081,-,"1,98%",Aalst
6,GROEN,4.361,3.767,"8,06%","6,89%",Aalst
7,sp.a,5.370,6.526,"9,92%","11,93%",Aalst
8,DierAnimal,746,-,"1,38%",-,Aalst
9,de coöperatie,121,-,"0,22%",-,Aalst
10,B.U.B,51,-,"0,09%",-,Aalst
11,R.O.S.S.E.M.,-,147,-,"0,27%",Aalst
12,Piratenpartij,-,468,-,"0,86%",Aalst
13,SD&P,-,1.218,-,"2,23%",Aalst
14,B.U.B.-Belg.Unie,-,87,-,"0,16%",Aalst
15,PVGW,-,52,-,"0,10%",Aalst
0,Open Vld,2.118,2.507,"15,45%","18,04%",Erpe-Mere
1,N-VA,3.452,5.313,"25,19%","38,23%",Erpe-Mere
2,VLAAMS BELANG,3.642,807,"26,57%","5,81%",Erpe-Mere
3,CD&V,1.877,2.706,"13,69%","19,47%",Erpe-Mere
4,PVDA,365,-,"2,66%",-,Erpe-Mere
5,PVDA+,-,201,-,"1,45%",Erpe-Mere
6,GROEN,765,739,"5,58%","5,32%",Erpe-Mere
7,sp.a,1.287,1.382,"9,39%","9,94%",Erpe-Mere
8,DierAnimal,142,-,"1,04%",-,Erpe-Mere
9,de coöperatie,26,-,"0,19%",-,Erpe-Mere
10,B.U.B,32,-,"0,23%",-,Erpe-Mere
11,R.O.S.S.E.M.,-,32,-,"0,23%",Erpe-Mere
12,Piratenpartij,-,78,-,"0,56%",Erpe-Mere
13,SD&P,-,106,-,"0,76%",Erpe-Mere
14,B.U.B.-Belg.Unie,-,15,-,"0,11%",Erpe-Mere
15,PVGW,-,11,-,"0,08%",Erpe-Mere
0,Open Vld,2.111,2.320,"16,40%","18,18%",Lede
1,N-VA,3.126,4.787,"24,29%","37,52%",Lede
2,VLAAMS BELANG,3.190,816,"24,78%","6,40%",Lede
3,CD&V,1.684,2.491,"13,08%","19,52%",Lede
4,PVDA,343,-,"2,66%",-,Lede
5,PVDA+,-,159,-,"1,25%",Lede
6,GROEN,939,774,"7,30%","6,07%",Lede
7,sp.a,935,1.210,"7,26%","9,48%",Lede
8,DierAnimal,120,-,"0,93%",-,Lede
9,de coöperatie,398,-,"3,09%",-,Lede
10,B.U.B,25,-,"0,19%",-,Lede
11,R.O.S.S.E.M.,-,34,-,"0,27%",Lede
12,Piratenpartij,-,68,-,"0,53%",Lede
13,SD&P,-,85,-,"0,67%",Lede
14,B.U.B.-Belg.Unie,-,12,-,"0,09%",Lede
15,PVGW,-,3,-,"0,02%",Lede
0,Open Vld,1.756,1.779,"17,94%","18,43%",Assenede
1,N-VA,1.843,2.851,"18,83%","29,54%",Assenede
2,VLAAMS BELANG,2.216,620,"22,64%","6,42%",Assenede
3,CD&V,1.416,1.932,"14,47%","20,02%",Assenede
4,PVDA,614,-,"6,27%",-,Assenede
5,PVDA+,-,398,-,"4,12%",Assenede
6,GROEN,681,719,"6,96%","7,45%",Assenede
7,sp.a,1.117,1.224,"11,41%","12,68%",Assenede
8,DierAnimal,113,-,"1,15%",-,Assenede
9,de coöperatie,17,-,"0,17%",-,Assenede
10,B.U.B,15,-,"0,15%",-,Assenede
11,R.O.S.S.E.M.,-,39,-,"0,40%",Assenede
12,Piratenpartij,-,64,-,"0,66%",Assenede
13,SD&P,-,5,-,"0,05%",Assenede
14,B.U.B.-Belg.Unie,-,15,-,"0,16%",Assenede
15,PVGW,-,6,-,"0,06%",Assenede
0,Open Vld,846,1.303,"10,74%","16,29%",Zelzate
1,N-VA,946,1.727,"12,01%","21,59%",Zelzate
2,VLAAMS BELANG,1.975,565,"25,07%","7,06%",Zelzate
3,CD&V,506,805,"6,42%","10,06%",Zelzate
