"","id","rg","ctr_n","ctr","yr","mn","sub","cst_n","cst","mag","pty_n","pty","can","pev1","vv1","cv1","cvs1","pv1","pvs1","seat"
"1",801,"North America","Canada",124,1984,9,"quebec","abitibi",1,1,"parti nationaliste du québec",79,"georges caron",68678,44706,1925,0.0430590972129021,1925,0.0430590972129021,0
"2",801,"North America","Canada",124,1984,9,"quebec","abitibi",1,1,"progressive conservative",88,"guy st-julien",68678,44706,23230,0.519617053639333,23230,0.519617053639333,1
"3",801,"North America","Canada",124,1984,9,"quebec","abitibi",1,1,"liberal",42,"rené gingras",68678,44706,12525,0.28016373641122,12525,0.28016373641122,0
"4",801,"North America","Canada",124,1984,9,"quebec","abitibi",1,1,"parti rhinocéros",81,"robert hamelin",68678,44706,2264,0.0506419719948105,2264,0.0506419719948105,0
"5",801,"North America","Canada",124,1984,9,"quebec","abitibi",1,1,"social credit party of canada",100,"alphonse leduc",68678,44706,1179,0.0263722990202657,1179,0.0263722990202657,0
"6",801,"North America","Canada",124,1984,9,"quebec","abitibi",1,1,"new democratic party",72,"royal tremblay",68678,44706,3583,0.0801458417214692,3583,0.0801458417214692,0
"7",801,"North America","Canada",124,1984,9,"ontario","algoma",2,1,"independent",6034,"harold bruzas",54225,36885,462,0.0125254168361122,462,0.0125254168361122,0
"8",801,"North America","Canada",124,1984,9,"ontario","algoma",2,1,"new democratic party",72,"rocco frangione",54225,36885,9499,0.257530161312187,9499,0.257530161312187,0
"9",801,"North America","Canada",124,1984,9,"ontario","algoma",2,1,"progressive conservative",88,"jim reed",54225,36885,12811,0.347322759929511,12811,0.347322759929511,0
"10",801,"North America","Canada",124,1984,9,"ontario","algoma",2,1,"liberal",42,"maurice foster",54225,36885,14113,0.382621661922191,14113,0.382621661922191,1
"11",801,"North America","Canada",124,1984,9,"nova scotia","annapolis valley--hants",3,1,"liberal",42,"howard fuller",60702,43792,12463,0.284595359883084,12463,0.284595359883084,0
"12",801,"North America","Canada",124,1984,9,"nova scotia","annapolis valley--hants",3,1,"parti rhinocéros",81,"graham macdermott",60702,43792,762,0.0174004384362441,762,0.0174004384362441,0
"13",801,"North America","Canada",124,1984,9,"nova scotia","annapolis valley--hants",3,1,"progressive conservative",88,"pat nowlan",60702,43792,23580,0.538454512239678,23580,0.538454512239678,1
"14",801,"North America","Canada",124,1984,9,"nova scotia","annapolis valley--hants",3,1,"new democratic party",72,"peggy hope-simpson",60702,43792,6987,0.159549689440994,6987,0.159549689440994,0
"15",801,"North America","Canada",124,1984,9,"quebec","argenteuil--papineau",4,1,"parti rhinocéros",81,"claude sam sabourin",49563,37734,946,0.0250702284411936,946,0.0250702284411936,0
"16",801,"North America","Canada",124,1984,9,"quebec","argenteuil--papineau",4,1,"new democratic party",72,"bjorn l. johansson",49563,37734,2671,0.0707849684634547,2671,0.0707849684634547,0
"17",801,"North America","Canada",124,1984,9,"quebec","argenteuil--papineau",4,1,"progressive conservative",88,"lise bourgault",49563,37734,21105,0.559309906185403,21105,0.559309906185403,1
"18",801,"North America","Canada",124,1984,9,"quebec","argenteuil--papineau",4,1,"parti nationaliste du québec",79,"françois granger",49563,37734,566,0.0149997349870144,566,0.0149997349870144,0
"19",801,"North America","Canada",124,1984,9,"quebec","argenteuil--papineau",4,1,"liberal",42,"robert gourd",49563,37734,12096,0.320559707425664,12096,0.320559707425664,0
"20",801,"North America","Canada",124,1984,9,"quebec","argenteuil--papineau",4,1,"independent",6067,"alphonse j. bélec",49563,37734,350,0.00927545449727037,350,0.00927545449727037,0
"21",801,"North America","Canada",124,1984,9,"saskatchewan","assiniboia",5,1,"confederation of regions western party",20,"ted coffey",41569,33946,595,0.0175278383314676,595,0.0175278383314676,0
"22",801,"North America","Canada",124,1984,9,"saskatchewan","assiniboia",5,1,"progressive conservative",88,"len gustafson",41569,33946,16026,0.47210275142874,16026,0.47210275142874,1
